area,perimetro,maior-eixo,menor-eixo,arredondamento,area-convexa,extensao
16291,523.1929931640631,223.252334594727,93.60415649414058,0.907859206199646,16595,0.5811572670936579
11518,428.70999145507795,175.936080932617,84.2515563964844,0.8778825998306271,11754,0.6603978872299189
11968,430.066986083984,170.001373291016,90.9749908447266,0.844761669635773,12252,0.63982892036438
12832,464.526000976563,196.611175537109,83.9868850708008,0.904170155525208,13148,0.562905788421631
12867,449.079986572266,181.70056152343798,91.341064453125,0.8644603490829471,13152,0.6490617394447329
12325,454.049011230469,192.69505310058602,82.5529098510742,0.903583407402039,12583,0.7860331535339359
10584,437.048004150391,188.44142150878898,72.5480880737305,0.9229207038879391,10936,0.5580512285232541
10851,408.929992675781,168.008224487305,83.3289489746094,0.8683331608772281,11007,0.615554809570313
12016,469.424987792969,196.949249267578,79.8351745605469,0.914157509803772,12464,0.5629684925079351
10955,419.994995117188,172.931091308594,81.46966552734371,0.8820741772651669,11147,0.6145862340927121
14246,488.91598510742205,210.753723144531,86.8851776123047,0.9110665321350101,14453,0.7480571269989009
14723,490.70901489257795,205.417129516602,92.4997329711914,0.892876327037811,15013,0.5701947808265689
13273,463.3330078125,197.452789306641,85.99746704101558,0.900172114372253,13462,0.585823357105255
12450,456.221008300781,191.142868041992,84.2134170532227,0.897714138031006,12740,0.5721507072448729
15593,512.427978515625,216.61570739746102,92.9100189208984,0.903344213962555,16050,0.7774730920791629
11528,433.347991943359,182.113952636719,81.4972839355469,0.89428037405014,11777,0.7853931188583371
14522,499.825012207031,217.674362182617,85.6878890991211,0.9192596673965451,14719,0.5319414138793951
12444,445.872009277344,183.35057067871102,87.9073104858398,0.8775695562362671,12630,0.6045472025871279
10468,427.713989257813,182.204010009766,74.5276565551758,0.9125190973281859,10672,0.5399215817451479
13637,466.653015136719,193.534210205078,90.3542327880859,0.884328901767731,13838,0.6916717290878299
11267,421.868988037109,170.356216430664,86.010986328125,0.86318427324295,11576,0.740762650966644
12337,446.22000122070295,180.541809082031,87.79290771484371,0.873805999755859,12628,0.612927258014679
11097,436.14498901367205,182.742858886719,78.4404754638672,0.9031906127929691,11472,0.628867745399475
17335,544.093017578125,239.010498046875,92.99298095703129,0.9212061166763309,17526,0.821097016334534
12557,443.218994140625,175.59748840332,92.3385696411133,0.8505750894546509,12860,0.622867047786713
12558,452.692993164063,189.478164672852,85.088249206543,0.8934984803199771,12799,0.624031007289887
12324,449.152008056641,190.392486572266,83.20513916015621,0.8994522690773009,12595,0.76713353395462
12758,456.638000488281,190.368316650391,86.1626434326172,0.891708493232727,13177,0.7033463716506961
12796,471.20901489257795,203.929626464844,80.3300094604492,0.919148862361908,13022,0.6840586066246029
12005,440.265014648438,180.68211364746102,85.7372283935547,0.8802448511123661,12319,0.603023886680603
16401,521.0770263671881,213.102569580078,99.5418930053711,0.8842003345489499,16781,0.7266082167625431
14146,504.35598754882795,214.062881469727,85.7449645996094,0.916270673274994,14716,0.6252651810646059
12789,454.389007568359,183.624557495117,89.72113037109379,0.872501254081726,13114,0.6950543522834781
