nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Green Day: Rock Band,X360,Misc,MTV Games,0.37,8-Jun-10,75.0,54.0,6.5,31.0,"Harmonix Music Systems, Demiurge Studios"
WWE SmackDown vs. Raw 2010,PS3,Fighting,THQ,1.14,20-Oct-09,81.0,38.0,8.1,38.0,Yuke's
Donkey Kong Country Returns,3DS,Platform,Nintendo,1.24,,,,,,
The Bachelor: The Videogame,Wii,Misc,Warner Bros. Interactive Entertainment,0.1,,,,,,
Digimon World Re:Digitize,PSP,Action,Namco Bandai Games,0.21,,,,,,
Tony Hawk: Shred,Wii,Sports,Activision,0.5,26-Oct-10,,,7,7.0,Robomodo
Silent Hill HD Collection,X360,Action,Konami Digital Entertainment,0.13,20-Mar-12,69.0,17.0,5.7,72.0,Konami
Yu-Gi-Oh! GX: Tag Force 3,PSP,Strategy,Konami Digital Entertainment,0.21,,,,,,
Twinkle * Crusaders GoGo!,PSP,Adventure,ASCII Media Works,0.02,,,,,,
Chibi Devi!,3DS,Action,Alchemist,0.01,,,,,,
Viking: Battle for Asgard,X360,Action,Sega,0.42,25-Mar-08,68.0,67.0,8.2,72.0,Creative Assembly
Atelier Meruru: Alchemist of Arland 3,PS3,Role-Playing,Nippon Ichi Software,0.22,,,,,,
Tomb Raider (2013),XOne,Action,Square Enix,0.05,,,,,,
Vanquish,X360,Adventure,Sega,0.38,19-Oct-10,84.0,70.0,8.4,142.0,PlatinumGames
The BIGS 2,Wii,Sports,Take-Two Interactive,0.28,7-Jul-09,68.0,5.0,8.5,6.0,Blue Castle Games
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,1.98,13-Apr-10,85.0,90.0,7.7,523.0,Ubisoft Montreal
Happy Dance Collection,Wii,Misc,Namco Bandai Games,0.01,,,,,,
Bravely Default: Flying Fairy,3DS,Role-Playing,Nintendo,0.53,7-Feb-14,85.0,64.0,8.4,129.0,"Silicon Studio, Silicon Studio"
Inversion,PS3,Shooter,Namco Bandai Games,0.05,5-Jun-12,56.0,23.0,5.4,38.0,Saber Interactive
FIFA Soccer 13,PSP,Action,Electronic Arts,0.26,25-Sep-12,,,2.8,18.0,Electronic Arts
Toukiden,PSV,Action,Tecmo Koei,0.24,11-Feb-14,74.0,19.0,8.6,45.0,Omega Force
Opoona,Wii,Role-Playing,Tecmo Koei,0.09,25-Mar-08,65.0,33.0,7.7,13.0,ArtePiazza
Rapala Pro Bass Fishing 2010,X360,Sports,Activision,0.34,28-Sep-10,,,tbd,,FUN Labs
RockMan DASH / RockMan DASH2 Value Pack,PSP,Role-Playing,Capcom,0.01,,,,,,
Fist of the North Star: Ken's Rage,X360,Action,Ubisoft Annecy,0.14,2-Nov-10,59.0,38.0,7.5,21.0,Koei
Koi to Senkyo to Chocolate Portable,PSP,Adventure,Kadokawa Shoten,0.05,,,,,,
BIT.TRIP COMPLETE,Wii,Misc,Rising Star Games,0.07,13-Sep-11,84.0,19.0,8.8,13.0,Gaijin Games
Madden NFL 25,XOne,Sports,Electronic Arts,0.46,19-Nov-13,73.0,18.0,5.8,77.0,EA Sports
NHL 08,PS3,Action,Electronic Arts,0.25,11-Sep-07,86.0,23.0,7.2,22.0,EA Canada
Too Human,X360,Role-Playing,Microsoft Game Studios,0.76,19-Aug-08,65.0,80.0,7,434.0,Silicon Knights
MotorStorm: Apocalypse,PS3,Racing,Sony Computer Entertainment,0.41,3-May-11,77.0,74.0,7.5,110.0,Evolution Studios
Cranium Kabookii,Wii,Misc,Ubisoft,0.14,4-Dec-07,64.0,9.0,4.8,11.0,Ubisoft Quebec
Motion Explosion!,X360,Misc,505 Games,0.05,1-Nov-11,,,tbd,,Artech Studios
NBA 2K12,PS3,Sports,Take-Two Interactive,2.02,4-Oct-11,90.0,38.0,6.6,108.0,Visual Concepts
Attack of the Movies 3D,Wii,Shooter,Majesco Entertainment,0.09,18-May-10,39.0,6.0,tbd,,Majesco Games
Ivy the Kiwi?,Wii,Puzzle,Rising Star Games,0.05,24-Aug-10,74.0,30.0,7.6,10.0,Prope
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,Action,Namco Bandai Games,0.59,,,,,,
Class of Heroes,PSP,Role-Playing,Acquire,0.14,9-Jun-09,61.0,12.0,7.1,10.0,Zerodiv
Dance Dance Revolution: Hottest Party 2,Wii,Simulation,Konami Digital Entertainment,1.55,12-Sep-08,69.0,8.0,6.8,6.0,Konami
Madden NFL 09,X360,Sports,Electronic Arts,2.5,12-Aug-08,83.0,50.0,7,120.0,EA Tiburon
MLB Power Pros,Wii,Sports,Konami Digital Entertainment,0.28,3-Oct-07,83.0,12.0,8.3,43.0,Konami
Ace Combat: Assault Horizon,X360,Action,Namco Bandai Games,0.44,11-Oct-11,78.0,71.0,6.2,69.0,Project Aces
Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,4.32,18-Oct-11,94.0,87.0,8.6,1194.0,Rocksteady Studios
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PSP,Adventure,Idea Factory,0.02,,,,,,
Metal Gear Solid HD Edition,PS3,Action,Konami Digital Entertainment,0.1,,,,,,
MotoGP,Wii,Racing,Capcom,0.18,24-Mar-09,44.0,10.0,5.4,10.0,
Help Wanted: 50 Wacky Jobs,Wii,Simulation,Hudson Soft,0.09,12-May-09,65.0,12.0,7,5.0,Hudson Soft
Dragon Ball: Raging Blast,X360,Fighting,Namco Bandai Games,0.47,10-Nov-09,56.0,29.0,7.7,23.0,Spike
Ys: Foliage Ocean in Celceta,PSV,Action,Nihon Falcom Corporation,0.14,,,,,,
iCarly 2: iJoin The Click!,Wii,Adventure,Activision,0.09,16-Nov-10,,,tbd,,Big Blue Bubble Inc.
Gravity Rush,PSV,Action,Sony Computer Entertainment,0.4,12-Jun-12,83.0,73.0,8.5,429.0,SCE Japan Studio
Call of Duty: Black Ops II,WiiU,Shooter,Activision,0.23,18-Nov-12,81.0,31.0,6.4,156.0,Treyarch
Dynasty Warriors 5 Empires,X360,Action,Tecmo Koei,0.12,28-Mar-06,61.0,40.0,8.1,16.0,Omega Force
Pure,PS3,Racing,Disney Interactive Studios,0.84,23-Sep-08,83.0,43.0,8,23.0,Black Rock Studio
The Darkness II,PS3,Shooter,Take-Two Interactive,0.26,7-Feb-12,79.0,28.0,7.7,101.0,Digital Extremes
Mercenaries 2: World in Flames,PS3,Shooter,Electronic Arts,0.82,31-Aug-08,72.0,43.0,7.1,63.0,Pandemic Studios
Style Savvy: Trendsetters,3DS,Misc,Nintendo,0.52,22-Oct-12,76.0,5.0,7.1,9.0,syn Sophia
F.E.A.R. Files,X360,Shooter,Vivendi Games,0.07,6-Nov-07,66.0,43.0,6.8,13.0,"TimeGate Studios, Day 1 Studios"
Adventures to Go!,PSP,Role-Playing,Zushi Games,0.1,,,,,,
Alvin and the Chipmunks: Chipwrecked,Wii,Misc,505 Games,0.08,15-Nov-11,,,tbd,,Behaviour Interactive
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive Entertainment,2.84,23-Sep-08,74.0,17.0,7.8,18.0,Traveller's Tales
Family Guy,PSP,Adventure,Take-Two Interactive,0.19,16-Oct-06,51.0,14.0,6.1,13.0,High Voltage Software
ZombiU,WiiU,Action,Ubisoft,0.63,18-Nov-12,77.0,70.0,7.5,531.0,Ubisoft Montpellier
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,0.21,2-Nov-08,63.0,16.0,4.4,7.0,Harmonix Music Systems
El Shaddai: Ascension of the Metatron,X360,Action,Ignition Entertainment,0.14,16-Aug-11,75.0,44.0,6.5,36.0,Ignition Entertainment
Toy Story Mania!,Wii,Misc,Disney Interactive Studios,1.79,15-Sep-09,49.0,15.0,6.7,11.0,Papaya Studios
Pippa Funnell: Ranch Rescue,Wii,Adventure,Ubisoft,0.01,,,,,,
Summer Sports 2: Island Sports Party,Wii,Sports,Ubisoft,0.26,18-Dec-08,,,tbd,,Destineer
de Blob,Wii,Platform,THQ,0.94,22-Sep-08,82.0,48.0,8.6,65.0,Blue Tongue Entertainment
Midway Arcade Treasures: Extended Play,PSP,Misc,Midway Games,0.22,13-Dec-05,63.0,24.0,8.7,6.0,Digital Eclipse
Bratz Kidz,Wii,Misc,Game Factory,0.16,11-Nov-08,,,tbd,,EKO Software
Brothers in Arms: Hell's Highway,PS3,Shooter,Ubisoft,0.88,23-Sep-08,76.0,48.0,8,63.0,Gearbox Software
Tony Hawk's Proving Ground,X360,Sports,Activision,0.54,15-Oct-07,72.0,59.0,5.4,41.0,Neversoft Entertainment
Pok̩mon X/Y,3DS,Role-Playing,Nintendo,10.27,,,,,,
La Pucelle: Ragnarok,PSP,Role-Playing,Nippon Ichi Software,0.03,,,,,,
Rogue Warrior,X360,Shooter,Bethesda Softworks,0.1,1-Dec-09,28.0,33.0,2.7,53.0,Rebellion
Clock Zero: Shuuen no Ichibyou Portable,PSP,Adventure,Idea Factory,0.04,,,,,,
MindJack,PS3,Shooter,Square Enix,0.14,18-Jan-11,44.0,31.0,2.1,37.0,FeelPlus
Ultimate Band,Wii,Misc,Disney Interactive Studios,0.2,18-Nov-08,59.0,17.0,5.5,4.0,Disney Interactive Studios
.hack: Sekai no Mukou ni + Versus,PS3,Action,Namco Bandai Games,0.03,,,,,,
Winning Post World 2010,Wii,Sports,Tecmo Koei,0.01,,,,,,
Harry Potter and the Order of the Phoenix,PS3,Adventure,Electronic Arts,0.2,25-Jun-07,67.0,35.0,6.4,22.0,EA Games
Def Jam Rapstar,Wii,Misc,Konami Digital Entertainment,0.29,5-Oct-10,65.0,5.0,tbd,,"4mm Games, Terminal Reality"
PAC-MAN and the Ghostly Adventures,X360,Action,Namco Bandai Games,0.02,29-Oct-13,,,tbd,,Namco Bandai Games America
Alpha Protocol,X360,Role-Playing,Sega,0.36,1-Jun-10,63.0,68.0,7.3,175.0,Obsidian Entertainment
Toriko: Gourmet Monsters!,3DS,Role-Playing,Namco Bandai Games,0.15,,,,,,
Fatal Inertia,X360,Racing,Tecmo Koei,0.12,11-Sep-07,61.0,30.0,4.4,17.0,Koei
Medal of Honor Heroes 2,Wii,Shooter,Electronic Arts,0.4,13-Nov-07,73.0,37.0,7.6,81.0,EA Canada
F.E.A.R. 2: Project Origin,X360,Shooter,Warner Bros. Interactive Entertainment,0.5,10-Feb-09,77.0,68.0,8.1,91.0,Monolith Productions
XI Coliseum,PSP,Puzzle,Sony Computer Entertainment,0.01,,,,,,
Counter Force,Wii,Shooter,505 Games,0.05,3-Oct-07,,,tbd,,Hyper-Devbox
Heavenly Sword,PS3,Action,Sony Computer Entertainment,1.6,12-Sep-07,79.0,64.0,8.3,459.0,Ninja Theory
Jonah Lomu Rugby Challenge,X360,Sports,Home Entertainment Suppliers,0.24,18-Oct-11,73.0,14.0,6.9,7.0,Sidhe Interactive
The Idolmaster 2,X360,Simulation,Namco Bandai Games,0.05,,,,,,
Boogie,Wii,Misc,Electronic Arts,0.46,7-Aug-07,57.0,37.0,5.3,54.0,EA Montreal
Countdown: The Game,Wii,Puzzle,Mindscape,0.05,,,,,,
Tropico 3,X360,Strategy,Kalypso Media,0.2,16-Feb-10,75.0,33.0,6.9,20.0,Haemimont
Hell's Kitchen: The Game,Wii,Simulation,Ubisoft,0.33,,,,,,
Summon Night 3,PSP,Role-Playing,Namco Bandai Games,0.12,,,,,,
Monster Jam: Path of Destruction,Wii,Racing,Activision,0.5,9-Nov-10,,,tbd,,Virtuos
Goldeneye 007: Reloaded,PS3,Shooter,Activision,0.67,1-Nov-11,72.0,38.0,6.3,41.0,Eurocom Entertainment Software
Mario Super Sluggers,Wii,Sports,Nintendo,1.86,25-Aug-08,69.0,31.0,7.6,34.0,Namco Bandai Games
Fate/Tiger Colosseum Upper,PSP,Fighting,Capcom,0.06,,,,,,
Ace Combat: Assault Horizon,PS3,Action,Namco Bandai Games,0.68,11-Oct-11,77.0,28.0,6.8,67.0,Project Aces
Pinball Hall of Fame: The Williams Collection,3DS,Misc,Crave Entertainment,0.07,23-Sep-11,67.0,5.0,7.3,7.0,Crave
Shadows of the Damned,PS3,Action,Electronic Arts,0.22,21-Jun-11,77.0,56.0,8,82.0,Grasshopper Manufacture
Def Jam Icon,X360,Action,Electronic Arts,0.33,6-Mar-07,69.0,48.0,6.3,105.0,EA Chicago
PaRappa The Rapper,PSP,Misc,Sony Computer Entertainment,0.11,17-Jul-07,67.0,43.0,8,7.0,Epics
Battlefield 4,PS4,Shooter,Electronic Arts,1.41,12-Nov-13,86.0,16.0,6.5,544.0,EA DICE
U-Sing,Wii,Misc,Mindscape,0.35,,,,,,
Yu-Gi-Oh! GX: Tag Force,PSP,Strategy,Konami Digital Entertainment,0.11,,,,,,
The Sims 2: Castaway,Wii,Simulation,Electronic Arts,1.18,23-Oct-07,73.0,19.0,8.6,7.0,Maxis
You Don't Know Jack,X360,Misc,THQ,0.17,8-Feb-11,82.0,23.0,8.1,27.0,"Jellyvision, Iron Galaxy Studios"
World Soccer Winning Eleven 9 (US sales),PSP,Sports,Konami Digital Entertainment,0.06,,,,,,
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,Shooter,Sony Computer Entertainment,1.04,7-Nov-06,81.0,31.0,9.2,30.0,Zipper Interactive
Brandish: The Dark Revenant,PSP,Role-Playing,Falcom Corporation,0.02,,,,,,
Injustice: Gods Among Us,PS3,Fighting,Warner Bros. Interactive Entertainment,0.83,16-Apr-13,78.0,37.0,8,221.0,NetherRealm Studios
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,3.27,16-Nov-10,89.0,81.0,8.3,542.0,Ubisoft Montreal
NBA 2K11,PSP,Sports,Take-Two Interactive,0.39,5-Oct-10,,,6.3,4.0,Visual Concepts
SD Gundam G Generation 3D,3DS,Role-Playing,Namco Bandai Games,0.16,,,,,,
Pro Evolution Soccer 2013,3DS,Sports,Konami Digital Entertainment,0.13,20-Nov-12,,,7,7.0,Konami
Armored Core: Last Raven Portable,PSP,Simulation,From Software,0.03,3-May-10,,,tbd,,From Software
Ben 10 Galactic Racing,PS3,Racing,D3Publisher,0.07,18-Oct-11,,,tbd,,Monkey Bar Games
Untold Legends: Dark Kingdom,PS3,Role-Playing,Electronic Arts,0.18,13-Nov-06,58.0,40.0,7.4,31.0,Sony Online Entertainment
F1 2010,PS3,Racing,Codemasters,1.29,22-Sep-10,84.0,46.0,7.8,73.0,Codemasters Birmingham
uDraw Studio: Instant Artist,Wii,Misc,THQ,0.15,15-Nov-11,,,tbd,,THQ
Kung Fu Panda 2,PS3,Action,THQ,0.08,,,,,,
Dave Mirra BMX Challenge,PSP,Sports,Oxygen Interactive,0.07,2-Nov-06,32.0,11.0,6,6.0,Left Field Productions
Angry Birds Trilogy,X360,Action,Activision,0.14,25-Sep-12,63.0,13.0,2.5,21.0,Rovio Mobile
Major League Baseball 2K11,PSP,Sports,Take-Two Interactive,0.05,8-Mar-11,,,tbd,,Visual Concepts
Cars: Race-O-Rama,PSP,Racing,THQ,0.4,12-Oct-09,,,tbd,,Tantalus Interactive
MLB Power Pros 2008,Wii,Sports,Konami Digital Entertainment,0.13,29-Jul-08,79.0,16.0,8.7,18.0,Konami
3D Dot Game Heroes,PS3,Role-Playing,SouthPeak Games,0.51,11-May-10,77.0,66.0,7.9,77.0,Silicon Studio
Castlevania: The Dracula X Chronicles,PSP,Platform,Konami Digital Entertainment,0.38,23-Oct-07,80.0,43.0,8.1,36.0,Konami
Ys Seven,PSP,Role-Playing,Falcom Corporation,0.2,17-Aug-10,79.0,27.0,8.5,44.0,Falcom
Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,Action,505 Games,0.07,,,,,,
Monster 4X4: World Circuit,Wii,Racing,Ubisoft,0.87,19-Nov-06,51.0,11.0,7.8,17.0,Ubisoft
LEGO The Lord of the Rings,3DS,Action,Warner Bros. Interactive Entertainment,0.23,30-Oct-12,61.0,4.0,6.4,5.0,TT Games
Batman: Arkham Origins Blackgate,3DS,Action,Warner Bros. Interactive Entertainment,0.11,25-Oct-13,68.0,6.0,6.5,23.0,Armature Studio
Dance! It's Your Stage,Wii,Misc,DTP Entertainment,0.01,,,,,,
Sonic Free Riders,X360,Racing,Sega,0.97,4-Nov-10,47.0,52.0,2,49.0,Sega
Castlevania: Lords of Shadow,X360,Action,Konami Digital Entertainment,0.57,5-Oct-10,83.0,70.0,7.9,181.0,Mercury Steam
LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,0.9,27-Mar-11,67.0,25.0,5.3,19.0,Traveller's Tales
Twisted Metal (2012),PS3,Action,Sony Computer Entertainment,0.69,,,,,,
Alone in the Dark,X360,Adventure,Atari,0.47,23-Jun-08,58.0,53.0,5.7,142.0,Eden Studios
DarkStar One: Broken Alliance,X360,Simulation,Kalypso Media,0.17,13-Jul-10,63.0,33.0,7.8,17.0,Gaming Minds Studios
Guitar Hero: World Tour,X360,Misc,Activision,2.58,26-Oct-08,85.0,67.0,6.3,154.0,Neversoft Entertainment
NHL 2K7,PS3,Sports,Take-Two Interactive,0.12,13-Nov-06,79.0,24.0,6.6,5.0,Kush Games
Nintendo Land,WiiU,Action,Nintendo,2.81,18-Nov-12,77.0,61.0,7.7,280.0,Nintendo
SSX,PS3,Sports,Electronic Arts,0.78,28-Feb-12,81.0,38.0,6.8,91.0,EA Canada
Dragon Quest VII,3DS,Role-Playing,Square Enix,1.24,,,,,,
Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,PSP,Adventure,Quinrose,0.02,,,,,,
Chrysler Classic Racing,Wii,Racing,Zoo Games,0.06,25-Nov-08,40.0,4.0,tbd,,Extra Mile Studios
Crush3D,3DS,Platform,Sega,0.08,6-Mar-12,71.0,32.0,7.5,12.0,Zoe Mode
Hitman: Absolution,X360,Action,Square Enix,1.59,20-Nov-12,79.0,51.0,7,355.0,Io Interactive
MX vs. ATV Reflex,PSP,Racing,THQ,0.21,1-Dec-09,,,tbd,,Tantalus Interactive
Assassin's Creed IV: Black Flag,PS3,Action,Ubisoft,2.59,29-Oct-13,88.0,36.0,8.1,548.0,Ubisoft
NCIS,Wii,Adventure,Ubisoft,0.12,1-Nov-11,,,tbd,,Ubisoft
Tom Clancy's HAWX 2,X360,Action,Ubisoft,0.34,7-Sep-10,68.0,57.0,6.2,27.0,Ubisoft
Suzumiya Haruhi no Gekidou,Wii,Adventure,Kadokawa Shoten,0.07,,,,,,
Rapala Trophies,PSP,Sports,Activision,0.04,1-Sep-06,,,tbd,,Sand Grain Studios
Rapala Pro Bass Fishing 2010,Wii,Sports,Activision,0.22,28-Sep-10,,,tbd,,FUN Labs
Sangoku Koi Senki: Otome no Heihou!,PSP,Adventure,Prototype,0.04,,,,,,
NBA Ballers: Rebound,PSP,Sports,Midway Games,0.1,9-May-06,69.0,17.0,7.5,6.0,Backbone Entertainment
Hatsune Miku: Project Diva 2nd,PSP,Misc,Sega,0.41,,,,,,
International Cricket 2010,X360,Sports,Codemasters,0.13,,,,,,
MotorStorm,PS3,Racing,Sony Computer Entertainment,3.8,6-Mar-07,84.0,9.0,7.3,173.0,Evolution Studios
Santa Claus Is Comin' to Town!,Wii,Puzzle,Crave Entertainment,0.05,8-Nov-11,,,tbd,,1st Playable Productions
Metroid Prime 3: Corruption,Wii,Shooter,Nintendo,1.77,27-Aug-07,90.0,62.0,8.9,391.0,Retro Studios
Army of Two: The 40th Day,PS3,Shooter,Electronic Arts,0.79,12-Jan-10,74.0,56.0,7.1,58.0,EA Montreal
DMC,PS3,Action,Capcom,0.67,15-Jan-13,85.0,40.0,4.9,1197.0,Ninja Theory
Generation of Chaos,PSP,Role-Playing,Midas Interactive Entertainment,0.06,28-Feb-06,60.0,29.0,7.8,16.0,Idea Factory
F1 2012,X360,Racing,Codemasters,0.46,18-Sep-12,84.0,42.0,7.1,49.0,Codemasters
Pinball Hall of Fame: The Williams Collection,X360,Misc,Crave Entertainment,0.1,22-Sep-09,83.0,18.0,8.9,15.0,Farsight Studios
"Barbie: Jet, Set & Style!",Wii,Misc,THQ,0.2,,,,,,
FIFA Soccer 14,X360,Sports,Electronic Arts,3.67,,,,,,
Mass Effect 2,PS3,Role-Playing,Electronic Arts,1.32,18-Jan-11,94.0,62.0,8.4,818.0,BioWare
Power Stone Collection,PSP,Action,Capcom,0.08,31-Oct-06,74.0,34.0,tbd,,Capcom
Rubik's World,Wii,Puzzle,Game Factory,0.14,4-Nov-08,64.0,9.0,tbd,,Two Tribes
Ratchet & Clank: Into the Nexus,PS3,Shooter,Sony Computer Entertainment,0.4,,,,,,
Samurai Shodown Anthology,PSP,Fighting,Ignition Entertainment,0.09,24-Mar-09,,,tbd,,SNK Playmore
Ride to Hell,X360,Racing,Deep Silver,0.02,25-Jun-13,19.0,14.0,1.4,306.0,Deep Silver
Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,3DS,Fighting,Arc System Works,0.02,,,,,,
Jikandia: The Timeless Land,PSP,Role-Playing,Idea Factory,0.02,22-Mar-11,60.0,5.0,7.2,5.0,Opus Studio
Kami Naru Kimi to,PSP,Adventure,Idea Factory,0.02,,,,,,
Major League Baseball 2K7,PS3,Sports,Spike,0.25,26-Feb-07,74.0,19.0,4.7,7.0,Kush Games
NFL Head Coach 09,PS3,Sports,Electronic Arts,0.13,3-Sep-08,64.0,12.0,7.1,12.0,EA Tiburon
Need for Speed: The Run,Wii,Racing,Electronic Arts,0.24,15-Nov-11,64.0,6.0,2.4,15.0,Firebrand Games
Bermuda Triangle: Saving the Coral,Wii,Puzzle,Unknown,0.01,17-Nov-09,,,tbd,,Storm City Games
PhotoKano,PSP,Adventure,Kadokawa Shoten,0.09,,,,,,
Deer Drive: Legends,3DS,Action,Maximum Family Games,0.01,29-May-12,,,tbd,,Raylight Studios
Centipede: Infestation,3DS,Shooter,Atari,0.03,1-Nov-11,,,tbd,,WayForward
Naruto Shippuden: Ultimate Ninja STORM Generations,X360,Fighting,Namco Bandai Games,0.41,13-Mar-12,74.0,35.0,7.4,37.0,Racjin
Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment,0.73,14-Nov-06,55.0,46.0,5.4,24.0,Game Republic
WWE SmackDown vs. Raw 2010,PSP,Fighting,THQ,0.6,20-Oct-09,,,6.3,4.0,Yuke's
FIFA Soccer 08,PSP,Sports,Electronic Arts,1.34,8-Oct-07,79.0,7.0,8,13.0,EA Canada
Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,Fighting,Marvelous Interactive,0.03,,,,,,
The Fast and the Furious,PSP,Racing,Deep Silver,0.02,24-Apr-07,58.0,7.0,5.4,5.0,Eutechnyx
Tetris Evolution,X360,Puzzle,THQ,0.08,19-Mar-07,52.0,21.0,tbd,,Mass Media
LEGO The Lord of the Rings,PSV,Action,Warner Bros. Interactive Entertainment,0.18,30-Oct-12,54.0,8.0,4.9,21.0,TT Games
NatGeo Challenge! Wild Life,Wii,Misc,Black Bean Games,0.03,,,,,,
Shaun White Snowboarding: World Stage,Wii,Sports,Ubisoft,0.27,8-Nov-09,72.0,33.0,8.9,28.0,Ubisoft
Tales of the World: Radiant Mythology 2,PSP,Role-Playing,Namco Bandai Games,0.33,,,,,,
MotoGP '07,X360,Racing,THQ,0.25,27-Aug-07,78.0,20.0,7,10.0,Climax Group
Kuroko's Basketball: Miracle Game,PSP,Action,Namco Bandai Games,0.1,,,,,,
Warriors Orochi 3,X360,Action,Ubisoft Annecy,0.14,27-Mar-12,71.0,9.0,8.2,14.0,Omega Force
Conception: Please Give Birth to My Child!,PSP,Action,Spike,0.08,,,,,,
Dead Rising 2,X360,Action,Capcom,1.39,28-Sep-10,79.0,76.0,7.1,165.0,Blue Castle Games
Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,Adventure,Idea Factory,0.01,,,,,,
Brothers Conflict: Passion Pink,PSP,Action,Idea Factory,0.03,,,,,,
Man vs. Wild,Wii,Adventure,Crave Entertainment,0.07,26-Apr-11,,,tbd,,Scientifically Proven
Captain America: Super Soldier,PS3,Action,Sega,0.14,19-Jul-11,61.0,34.0,7.2,31.0,Next Level Games
NCAA Football 12,X360,Sports,Electronic Arts,0.96,12-Jul-11,82.0,25.0,6.5,47.0,EA Sports
Deadpool,X360,Action,Activision,0.23,25-Jun-13,62.0,49.0,7.4,322.0,High Moon Studios
Just Dance 3,X360,Misc,Ubisoft,1.94,7-Oct-11,70.0,34.0,7.9,14.0,Ubisoft
Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,3DS,Action,Namco Bandai Games,0.02,,,,,,
Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,2.62,16-Nov-10,90.0,59.0,8.1,546.0,Ubisoft Montreal
Rapala Pro Bass Fishing 2010,PS3,Sports,Activision,0.22,28-Sep-10,,,tbd,,FUN Labs
Karaoke Revolution Presents American Idol Encore 2,X360,Misc,Konami Digital Entertainment,0.09,18-Nov-08,,,tbd,,Blitz Games
Ultimate Marvel vs. Capcom 3,PSV,Fighting,Capcom,0.21,15-Feb-12,80.0,48.0,7.5,72.0,Capcom
GTI Club: Supermini Festa!,Wii,Racing,Konami Digital Entertainment,0.02,,,,,,
The Cages: Pro Style Batting Practice,Wii,Sports,Konami Digital Entertainment,0.01,6-Jul-10,,,tbd,,Konami
UFC 2009 Undisputed,PS3,Fighting,THQ,1.72,19-May-09,84.0,58.0,8.2,40.0,THQ
NHL 12,X360,Sports,Electronic Arts,0.65,13-Sep-11,86.0,56.0,7.1,63.0,Electronic Arts
The Munchables,Wii,Action,Namco Bandai Games,0.18,26-May-09,71.0,33.0,8.2,5.0,Now Production
Rayman Origins,X360,Platform,Ubisoft,0.69,15-Nov-11,87.0,55.0,8.2,167.0,UBlart Montpellier
Resident Evil Archives: Resident Evil Zero,Wii,Action,Capcom,0.21,1-Dec-09,62.0,17.0,8.2,16.0,Capcom
Little League World Series Baseball: Double Play,Wii,Sports,Activision,0.07,13-Jul-10,,,tbd,,Activision
Hannah Montana: The Movie,PS3,Adventure,Disney Interactive Studios,0.2,7-Apr-09,,,2.5,13.0,n-Space
Transformers: War for Cybertron,X360,Action,Activision,0.53,22-Jun-10,76.0,69.0,8.6,207.0,High Moon Studios
EA Sports Active: More Workouts,Wii,Sports,Electronic Arts,1.09,17-Nov-09,80.0,15.0,tbd,,Electronic Arts
Sherlock Holmes vs. Jack the Ripper,X360,Adventure,Focus Home Interactive,0.12,23-Apr-10,62.0,24.0,6.8,11.0,Frogwares
Ski and Shoot,Wii,Sports,RTL,0.07,9-Dec-08,,,tbd,,49Games
UEFA Champions League 2006-2007,X360,Sports,Electronic Arts,0.05,20-Mar-07,72.0,27.0,7.9,8.0,EA Canada
One Piece: Pirate Warriors 2,PSV,Action,Namco Bandai Games,0.12,,,,,,
Planet 51,Wii,Action,Sega,0.19,17-Nov-09,53.0,6.0,tbd,,Pyro Studios
School Wars: Graduation Front,PSP,Adventure,Quinrose,0.01,,,,,,
Petz: Crazy Monkeyz,Wii,Simulation,Ubisoft,0.23,18-Nov-08,,,tbd,,Ubisoft
Plants vs. Zombies,X360,Strategy,PopCap Games,0.17,28-Sep-10,89.0,27.0,8.2,136.0,PopCap
Need for Speed: Shift 2 Unleashed,X360,Racing,Electronic Arts,0.41,,,,,,
Crash Tag Team Racing,PSP,Racing,Vivendi Games,0.21,10-Nov-05,68.0,9.0,8.4,12.0,Radical Entertainment
Final Fantasy Anniversary Edition,PSP,Role-Playing,Square Enix,0.57,26-Jun-07,67.0,34.0,7.6,30.0,TOSE
Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,Sports,Detn8 Games,0.22,,,,,,
